,이름,사용가능시간,구분,사용가능,사용중,사용불가,도로명주소,연락처,충전요금,급속충전량,참고사항
2088,풍산읍행정복지센터,24시간 이용가능,급속,2,0,0,경상북도 안동시 풍산읍 안교리 122-4 ,1661-9408,무료,급속(200kW동시),없음 
2089,풍천면행정복지센터,24시간 이용가능,급속,0,2,0,경상북도 안동시 풍천면 갈전리 555 ,1661-9408,무료,급속(200kW동시),없음 
2090,하양읍사무소,24시간 이용가능,급속,1,0,0,경상북도 경산시 경산시 하양읍 문화로 36 ,1661-9408,유료,급속(100kW멀티),없음 
2091,한국도로공사본사,24시간 이용가능,급속,2,0,0,경상북도 김천시 혁신8로 77 ,1661-9408,유료,급속(50kW),없음 
2092,한국산림복지진흥원 국립산림치유원,24시간 이용가능,급속,1,0,0,경상북도 영주시 봉현면 두산리 1384 ,1661-9408,무료,급속(100kW멀티),없음 
2093,한국수력원자력(본사),24시간 이용가능,급속,2,0,0,경상북도 경주시 양북면 장항리 1274 ,1661-9408,무료,급속(200kW동시),없음 
2094,한국수목원관리원 국립백두대간수목원,24시간 이용가능,급속,1,1,0,경상북도 봉화군 봉화군 춘양면 서벽리 485 ,1661-9408,유료,급속(200kW동시),없음 
2095,한국전력기술,24시간 이용가능,급속,2,2,0,경상북도 김천시 혁신로 269 ,1661-9408,무료,급속(200kW동시),없음 
2096,해병대1사단면회소,24시간 이용가능,급속,2,0,0,경상북도 포항시 남구 오천읍 용덕리 2-15 ,1661-9408,유료,급속(200kW동시),없음 
2097,현곡면사무소,24시간 이용가능,급속,1,0,0,경상북도 경주시 현곡면 금장리 582-4 ,1661-9408,유료,급속(50kW),없음 
2098,현대LPG행복충전소,24시간 이용가능,급속,1,0,0,경상북도 경주시 외동읍 산업로 2759 ,1661-9408,유료,급속(50kW),없음 
2099,현동면사무소,24시간 이용가능,급속,2,0,0,경상북도 청송군 현동면 도평리 793 ,1661-9408,무료,급속(200kW동시),없음 
2100,현서면체육공원,24시간 이용가능,급속,2,0,0,경상북도 청송군 현서면 구산리 45-3 ,1661-9408,무료,급속(200kW동시),없음 
2101,호미곶해맞이 광장 주차장,24시간 이용가능,급속,1,0,0,경상북도 포항시 남구 호미곶면 대보리 292-5 ,1661-9408,무료,급속(100kW멀티),없음 
2102,호미곶해맞이광장,24시간 이용가능,급속,1,0,0,경상북도 포항시 남구 호미곶면 해맞이로 136 ,1661-9408,유료,급속(50kW),없음 
2103,화물자동차 공영차고지(차량등록사업소),24시간 이용가능,급속,2,0,0,경상북도 경주시 천북면 신당리 150-1번지 일원 ,1661-9408,유료,급속(200kW동시),없음 
2104,화서휴게소(상주방향),24시간 이용가능,급속,1,0,0,경상북도 상주시 화서면 터골길 51-25  (터골길 51-25),1661-9408,유료,급속(50kW),없음 
2105,화서휴게소(상주방향),24시간 이용가능,급속,1,0,0,경상북도 상주시 화서면 터골길 51-25 ,1661-9408,유료,급속(100kW멀티),없음 
2106,환호3공영주차장,24시간 이용가능,급속,2,0,0,경상북도 포항시 북구 환호동 365 ,1661-9408,유료,급속(200kW동시),없음 
2107,황남동사무소,24시간 이용가능,급속,1,0,0,경상북도 경주시 사정동 172-1 ,1661-9408,유료,급속(50kW),없음 
2108,황성공원 주차장,24시간 이용가능,급속,0,0,2,경상북도 경주시 황성동 435-4 ,1661-9408,유료,급속(200kW동시),없음 
2109,효자아트홀주차장,24시간 이용가능,급속,1,0,0,경상북도 포항시 남구 대잠동 780-196 ,1661-9408,무료,급속(100kW멀티),없음 
2110,후포문화복지센터,24시간 이용가능,급속,2,1,0,경상북도 울진군 후포면 삼율로 17 후포문화복지센터,1661-9408,유료,"급속(50kW), 급속(100kW동시)",없음 
2111,휴네스트,24시간 이용가능,급속,1,0,0,경상북도 영덕군 병곡면 병곡리 360번지 ,1661-9408,유료,급속(50kW),없음 
2112,흥해읍사무소,24시간 이용가능,급속,1,0,0,"경상북도 포항시 북구 흥해읍 동해대로 1511 , 주차장(옥성리 177-5)",1661-9408,유료,급속(50kW),없음 
2113,S-oil 물금주유소,24시간 이용가능,급속,1,0,0,경상남도 양산시 물금읍 황산로501 ,1661-9408,유료,급속(50kW),없음 
2114,kbs창원방송총국,24시간 이용가능,급속,1,1,0,경상남도 창원시 의창구 중앙대로 178(신월동 97-1) ,1661-9408,유료,급속(200kW동시),없음 
2115,가야산국립공원사무소 주차장,24시간 이용가능,급속,1,0,0,경상남도 합천군 가야면 가야산로 1200 ,1661-9408,유료,급속(100kW멀티),없음 
2116,가야읍사무소,24시간 이용가능,급속,1,0,0,경상남도 함안군 가야읍 함안대로 505 (말산리 271-6),1661-9408,유료,급속(50kW),없음 
2117,가야테마파크,24시간 이용가능,급속,1,0,0,경상남도 김해시 가야테마길 161 ,1661-9408,유료,급속(100kW멀티),없음 
2118,가조역권 커뮤니티센터,24시간 이용가능,급속,1,0,0,경상남도 거창군 가조면 지산로 1488-30 ,1661-9408,유료,급속(100kW멀티),없음 
2119,거제 학동주차장,24시간 이용가능,급속,1,0,0,경상남도 거제시 동부면 학동리 264 ,1661-9408,유료,급속(100kW멀티),없음 
2120,거제관광안내소,24시간 이용가능,급속,1,0,0,경상남도 거제시 사등면 오량리 841 ,1661-9408,유료,급속(100kW멀티),없음 
2121,거제시청,24시간 이용가능,급속,1,0,0,경상남도 거제시 계룡로 125 민원인 주차 건물 출구 앞(고현동 717),1661-9408,유료,급속(50kW),없음 
2122,거제휴게소(거제해양파크),24시간 이용가능,급속,1,0,0,경상남도 거제시 거제대로 1068 (거제대로 1068),1661-9408,유료,급속(50kW),없음 
2123,거창군 농업기술센터,24시간 이용가능,급속,1,0,0,경상남도 거창군 거창읍 거함대로 3322 ,1661-9408,유료,급속(100kW멀티),없음 
2124,거창군청,24시간 이용가능,급속,0,1,0,경상남도 거창군 거창읍 중앙로 103 (중앙로 103),1661-9408,유료,급속(50kW),없음 
2125,거창휴게소(고서방향),24시간 이용가능,급속,1,0,0,경상남도 거창군 가조면 도리 산189-1  (도리 산189-1),1661-9408,유료,급속(50kW),없음 
2126,거창휴게소(고서방향),24시간 이용가능,급속,1,0,0,경상남도 거창군 가조면 가조가야로 1523 (도리) ,1661-9408,유료,급속(50kW),없음 
2127,거창휴게소(옥포방향),24시간 이용가능,급속,1,0,0,경상남도 거창군 가조면 도리 (가조면 도리),1661-9408,유료,급속(50kW),없음 
2128,거창휴게소(옥포방향),24시간 이용가능,급속,1,0,0,경상남도 거창군 가조면 가조가야로 1543-81 (도리) ,1661-9408,유료,급속(50kW),없음 
2129,경남도청,24시간 이용가능,급속,1,0,0,"경상남도 창원시 의창구 중앙대로 300 , 정문 우측(사림동 1)",1661-9408,유료,급속(50kW),없음 
2130,경상남도 서부청사,24시간 이용가능,급속,1,0,0,경상남도 진주시 월아산로 2026 (월아산로 2026),1661-9408,유료,급속(50kW),없음 
2131,계성면보건지소,24시간 이용가능,급속,2,0,0,경상남도 창녕군 계성면 계성리 606 ,1661-9408,무료,급속(200kW동시),없음 
2132,고성읍 사무소,24시간 이용가능,급속,1,0,0,경상남도 고성군 고성읍 송학로 93 ,1661-9408,유료,급속(100kW멀티),없음 
2133,고성휴게소(통영방향),24시간 이용가능,급속,1,0,0,경상남도 고성군 대가면 통영대전고속도로 29  (통영대전고속도로 29),1661-9408,유료,급속(50kW),없음 
2134,고성휴게소(통영방향),24시간 이용가능,급속,1,0,0,경상남도 고성군 대가면 통영대전고속도로 29 (송계리) ,1661-9408,유료,급속(50kW),없음 
2135,고성휴게소(하남방향),24시간 이용가능,급속,1,0,0,경상남도 고성군 대가면 통영대전고속도로 32  (통영대전고속도로 32),1661-9408,유료,급속(50kW),없음 
2136,고성휴게소(하남방향),24시간 이용가능,급속,0,1,0,경상남도 고성군 대가면 통영대전고속도로 32 (신전리) ,1661-9408,유료,급속(50kW),없음 
2137,공동육아나눔터 (구 칠원보건지소),24시간 이용가능,급속,1,0,0,경상남도 함안군 칠원읍 용산1길 28 ,1661-9408,유료,급속(100kW멀티),없음 
2138,구산면사무소,24시간 이용가능,급속,1,0,0,"경상남도 창원시 마산합포구 구산면 구산로 554 , 구산면사무소 주차장(수정리 654-3)",1661-9408,유료,급속(50kW),없음 
2139,구산면사무소,24시간 이용가능,급속,3,0,0,경상남도 창원시 마산합포구 구산면 구산로 554  ,1661-9408,유료,"급속(100kW멀티), 급속(200kW동시)",없음 
2140,국민연금공단 거창사옥,24시간 이용가능,급속,1,0,0,경상남도 거창군 거창읍 대동리 992-2 ,1661-9408,무료,급속(100kW멀티),없음 
2141,군북3.1기념체육관,24시간 이용가능,급속,1,0,0,경상남도 함안군 군북면 소포리 516-2 ,1661-9408,무료,급속(100kW멀티),없음 
2142,군북면사무소,24시간 이용가능,급속,1,0,0,경상남도 함안군 군북면 지두2길 15 ,1661-9408,유료,급속(100kW멀티),없음 
2143,근로자복지공단창원병원,24시간 이용가능,급속,1,0,0,"경상남도 창원시 성산구 창원대로 721, 건물 우측 ",1661-9408,유료,급속(50kW),없음 
2144,금산면사무소,월~금24시간 이용가능,급속,1,0,0,경상남도 진주시 금산로 107 ,1661-9408,유료,급속(100kW멀티),없음 
2145,금호통영마리나리조트주차장,24시간 이용가능,급속,1,0,0,"경상남도 통영시 큰발개 1길 33, 마리나요트클럽 앞 ",1661-9408,유료,급속(50kW),없음 
2146,김해서부문화센터,24시간 이용가능,급속,2,0,0,경상남도 김해시 율하2로 210 ,1661-9408,유료,급속(200kW동시),없음 
2147,김해시 장유출장소,24시간 이용가능,급속,1,0,0,경상남도 김해시 부곡로 57 (부곡로 57),1661-9408,유료,급속(50kW),없음 
2148,김해시 차량등록사업소,24시간 이용가능,급속,1,0,0,경상남도 김해시 김해대로 2401 (김해시 부원동 623),1661-9408,유료,급속(50kW),없음 
2149,김해휴게소 기장방향,24시간 이용가능,급속,2,1,0,경상남도 김해시 대동면 월촌리 770 ,1661-9408,유료,"급속(50kW), 급속(100kW동시)",없음 
2150,김해휴게소 창원방향,24시간 이용가능,급속,3,0,0,경상남도 김해시 대동면 월촌리 770 ,1661-9408,유료,"급속(50kW), 급속(100kW동시)",없음 
2151,남광석유판매,24시간 이용가능,급속,1,0,0,경상남도 창원시 의창구 창원대로314 ,1661-9408,유료,급속(50kW),없음 
2152,남산공원,24시간 이용가능,급속,2,0,0,경상남도 고성군 고성읍 동외리 595 ,1661-9408,유료,급속(200kW동시),없음 
2153,남일대해수욕장 주차장,24시간 이용가능,급속,2,0,0,경상남도 사천시 향촌동 631-6 ,1661-9408,유료,급속(200kW동시),없음 
2154,남지시외버스터미널 인근 공용주차장,24시간 이용가능,급속,1,0,0,경상남도 창녕군 남지읍 남지리 167-4 일원 ,1661-9408,유료,급속(100kW멀티),없음 
2155,내원휴게소,24시간 이용가능,급속,1,0,0,경상남도 양산시 하북면 양산대로 1964 (용연리 904-2),1661-9408,유료,급속(50kW),없음 
2156,내조마을 공용주차장,24시간 이용가능,급속,1,0,0,경상남도 의령군 칠곡면 내조리 429-1 ,1661-9408,무료,급속(100kW멀티),없음 
2157,농월정 관광단지 주차장,24시간 이용가능,급속,1,0,0,경상남도 함양군 안의면 농월정길9-13 ,1661-9408,유료,급속(100kW멀티),없음 
2158,대산면사무소,24시간 이용가능,급속,2,0,0,경상남도 함안군 대산면 대산중앙로 176 ,1661-9408,유료,급속(200kW동시),없음 
2159,대지면사무소,24시간 이용가능,급속,1,0,0,경상남도 창녕군 대지면 모산리 501-1 ,1661-9408,무료,급속(100kW멀티),없음 
2160,대청계곡 공영주차장,24시간 이용가능,급속,0,1,0,경상남도 김해시 대청동 산112-130 ,1661-9408,유료,급속(100kW멀티),없음 
2161,덕계동주민센터,24시간 이용가능,급속,1,0,0,경상남도 양산시 덕계동 1039-5 ,1661-9408,유료,급속(50kW),없음 
2162,동면상동체육공원,24시간 이용가능,급속,3,0,0,경상남도 양산시 동면 여락리 301-1 ,1661-9408,유료,"급속(50kW), 급속(100kW동시)",없음 
2163,동읍사무소,24시간 이용가능,급속,1,0,0,"경상남도 창원시 의창구 동읍 동읍로 88 , 동읍사무소 주차장(용잠리 575)",1661-9408,유료,급속(50kW),없음 
2164,롯데마트 거제점,10:00~23:00,급속,1,0,0,경상남도 거제시 서간도길 9-9 (옥포동) ,1661-9408,유료,급속(50kW),없음 
2165,롯데마트 김해점,10:00~23:00,급속,1,0,0,경상남도 김해시 김해대로 2330 (부원동) ,1661-9408,유료,급속(50kW),없음 
2166,롯데마트 마산점,10:00~23:00,급속,2,0,0,경상남도 창원시 마산합포구 신마산시장길 33 (창포동3가) ,1661-9408,유료,급속(50kW),없음 
2167,롯데마트 삼계점,10:00~24:00,급속,1,0,0,"경상남도 창원시 마산회원구 내서읍 경남대로 927 , 지상주차장 출입구(삼계리 25-2)",1661-9408,유료,급속(50kW),"주차비 구매영수증 지참시 무료, 없을시에 30분 800원 "
2168,롯데마트 시티세븐점,10:00~23:00,급속,1,1,0,경상남도 창원시 의창구 원이대로 320 (두대동) ,1661-9408,유료,급속(50kW),없음 
2169,롯데마트 양덕점,10:00~23:00,급속,1,0,0,경상남도 창원시 마산회원구 삼호로 80 (양덕동) ,1661-9408,유료,급속(50kW),없음 
2170,롯데마트 웅상점,24시간 이용가능,급속,1,0,0,"경상남도 양산시 삼호1길 34, 4층 주차장 02 ",1661-9408,유료,급속(50kW),없음 
2171,롯데마트 장유점,24시간 이용가능,급속,1,0,0,경상남도 김해시 번화1로56번길 15 롯데마트 ,1661-9408,유료,급속(50kW),없음 
2172,롯데마트 진주점,10:00~23:00,급속,1,0,0,"경상남도 진주시 동진로 440, 지하2층 주차장 C6 ",1661-9408,유료,급속(50kW),없음 
2173,롯데마트 창원중앙점,"08:30 ~ 23:00 (휴무일  2주차,4주차 일요일)",급속,1,1,0,경상남도 창원시 성산구 중앙동 92 ,1661-9408,무료,급속(200kW동시),없음 
2174,롯데마트 통영점,10:00~24:00,급속,1,0,0,"경상남도 통영시 무전대로 65, 4층 주차장  ",1661-9408,유료,급속(50kW),없음 
2175,마금산온천 제2공구공영주차장,24시간 이용가능,급속,1,0,0,경상남도 창원시 의창구 북면 신촌리 407-1 ,1661-9408,유료,급속(50kW),없음 
2176,마산의료원,24시간 이용가능,급속,1,0,0,경상남도 창원시 장군동4가 3-6 ,1661-9408,유료,급속(50kW),없음 
2177,마산합포스포츠센터,24시간 이용가능,급속,1,0,0,경상남도 창원시 마산합포구 드림베이대로 56 ,1661-9408,유료,급속(50kW),없음 
2178,만남의광장,24시간 이용가능,급속,1,1,0,경상남도 양산시 다방동 572-1 ,1661-9408,무료,급속(100kW동시),없음 
2179,만포주유소,24시간 이용가능,급속,1,0,0,경상남도 밀양시 삼랑진읍 삼랑진로 390 ,1661-9408,유료,급속(50kW),없음 
2180,명동노외공영주차장(노외주차장),24시간 이용가능,급속,3,0,0,"경상남도 창원시 진해구 명동580, 좌측 주차장 ",1661-9408,유료,"급속(50kW), 급속(100kW동시)",없음 
2181,목화휴게소,24시간 이용가능,급속,1,0,0,경상남도 사천시 용현면 사천대로 912 (주문리 4),1661-9408,유료,급속(50kW),없음 
2182,무안용호놀이 전수관,24시간 이용가능,급속,2,0,0,경상남도 밀양시 무안면 사명로 537 ,1661-9408,유료,급속(200kW동시),없음 
2183,문산읍 사무소,24시간 이용가능,급속,2,0,0,경상남도 진주시 문산읍 삼곡리 1265-1 ,1661-9408,무료,급속(200kW동시),없음 
2184,문산휴게소(순천방향),24시간 이용가능,급속,1,0,0,"경상남도 진주시 문산읍 남해고속도로 195 , 주유소 옆 주차장(소문리 969)",1661-9408,유료,급속(50kW),없음 
2185,문산휴게소(순천방향),24시간 이용가능,급속,1,0,0,경상남도 진주시 문산읍 남해고속도로 195 ,1661-9408,유료,급속(100kW멀티),없음 
2186,문화체육센터,24시간 이용가능,급속,1,0,0,경상남도 고성군 고성읍 송학고분로 193 ,1661-9408,유료,급속(100kW멀티),없음 
2187,미조항 북항주차장,24시간 이용가능,급속,2,0,0,경상남도 남해군 미조면 미조리 107-6 ,1661-9408,유료,급속(200kW동시),없음 
2188,민원청사 주차장(김해시청),24시간 이용가능,급속,2,0,0,경상남도 김해시 부원동 625-1 ,1661-9408,무료,급속(100kW동시),"평일 08~20시 유료(1시간무료), 나머지 무료 30분에 500원(전기차 50%감면), 1일 최대요금 5000원 "
2189,밀양공설운동장,24시간 이용가능,급속,0,1,0,"경상남도 밀양시 밀양대로 2057-21 , 입구 왼쪽 주차장(교동 1011)",1661-9408,유료,급속(50kW),없음 
2190,밀양아리랑대공원 주차장,24시간 이용가능,급속,2,0,0,경상남도 밀양시 교동 556번지 ,1661-9408,유료,급속(200kW동시),없음 
2191,법기수원지,24시간 이용가능,급속,3,0,0,경상남도 양산시 동면 법기리 523-3 ,1661-9408,유료,"급속(50kW), 급속(100kW동시)",없음 
2192,봉산면사무소 공영주차장,24시간 이용가능,급속,1,0,0,경상남도 합천군 봉산면 김봉리 344-11 ,1661-9408,무료,급속(100kW멀티),없음 
2193,봉화마을주차장,24시간 이용가능,급속,1,0,0,경상남도 김해시 진영읍 본산리 40-9 ,1661-9408,무료,급속(100kW멀티),없음 
2194,부곡 공설주차장,24시간 이용가능,급속,1,0,0,경상남도 창녕군 부곡면 거문리 824 ,1661-9408,무료,급속(100kW멀티),없음 
2195,부림공설운동장 주차장,24시간 이용가능,급속,1,0,0,경상남도 의령군 부림면 감암리 1254 ,1661-9408,유료,급속(50kW),없음 
2196,북면골프연습장,24시간 이용가능,급속,3,0,0,"경상남도 창원시 의창구 월계리 162-4, 골프장 밑 주차장 ",1661-9408,유료,"급속(50kW), 급속(100kW동시)",없음 
2197,북면행정복지센터,24시간 이용가능,급속,1,0,0,경상남도 창원시 의창구 북면 신촌리 954-4 ,1661-9408,무료,급속(100kW멀티),없음 
2198,불암동주민센터,24시간 이용가능,급속,1,0,0,경상남도 김해시 불암동 220-17 ,1661-9408,무료,급속(100kW멀티),없음 
2199,비학에너지,24시간 이용가능,급속,1,0,0,경상남도 양산시 상북면 양산대로 1510  ,1661-9408,유료,급속(50kW),없음 
2200,사등면사무소,24시간 이용가능,급속,1,0,0,경상남도 거제시 사등면 성포로 104 ,1661-9408,유료,급속(100kW멀티),없음 
2201,사천공항,24시간 이용가능,급속,1,0,0,경상남도 사천시 사천읍 사천대로 1971 ,1661-9408,유료,급속(100kW멀티),없음 
2202,사천만남의 광장,24시간 이용가능,급속,0,1,0,경상남도 사천시 축동면 서삼로 1742 ,1661-9408,유료,급속(50kW),없음 
2203,사천종합운동장,24시간 이용가능,급속,1,0,0,경상남도 사천시 사천읍 구암두문로 85 ,1661-9408,유료,급속(50kW),없음 
2204,사천휴게소(부산방향),24시간 이용가능,급속,1,0,0,경상남도 사천시 곤양면 서삼로 619 (묵곡리) ,1661-9408,유료,급속(50kW),없음 
2205,사천휴게소(부산방향),24시간 이용가능,급속,0,1,0,경상남도 사천시 곤양면 서삼로 619 ,1661-9408,유료,급속(100kW멀티),없음 
2206,사천휴게소(순천방향),24시간 이용가능,급속,1,0,0,경상남도 사천시 곤양면 묵실길 31-11 (묵곡리) ,1661-9408,유료,급속(50kW),없음 
2207,사천휴게소(순천방향),24시간 이용가능,급속,1,0,0,경상남도 사천시 곤양면 묵실길 31-11 ,1661-9408,유료,급속(100kW멀티),없음 
2208,사파동 노외주차장,24시간 이용가능,급속,1,0,0,경상남도 창원시 성산구 사파동64-2 ,1661-9408,유료,급속(50kW),없음 
2209,산청휴게소(통영방향),24시간 이용가능,급속,2,0,0,경상남도 산청군 단성면 통영대전고속도로 77 (방목리) ,1661-9408,유료,급속(50kW),없음 
2210,산청휴게소(하남방향),24시간 이용가능,급속,2,0,0,경상남도 산청군 단성면 통영대전고속도로 76 (방목리) ,1661-9408,유료,급속(50kW),없음 
2211,삼문공용주차장,24시간 이용가능,급속,1,0,0,경상남도 밀양시 삼문동 24-40 ,1661-9408,유료,급속(100kW멀티),없음 
2212,삼천포대교공원,24시간 이용가능,급속,0,1,0,경상남도 사천시 사천대로 17 ,1661-9408,유료,급속(50kW),없음 
2213,삼천포종합정비,24시간 이용가능,급속,1,0,0,경상남도 사천시 삼천포대교로 577 ,1661-9408,유료,급속(50kW),없음 
2214,상리면 보건지소 주차장,24시간 이용가능,급속,2,0,0,경상남도 고성군 상리면 척번정리 804 ,1661-9408,무료,급속(100kW동시),없음 
2215,상북면사무소,24시간 이용가능,급속,3,0,0,경상남도 양산시 상북면 석계리 272-20 ,1661-9408,유료,"급속(50kW), 급속(100kW동시)",없음 
2216,상족암군립공원 주차장,08:00~18:00 (휴무일 매주 월요일),급속,1,0,0,경상남도 고성군 하이면 덕명리 284 ,1661-9408,무료,급속(100kW멀티),"2,000원 "
2217,상주해수욕장 주차장,24시간 이용가능,급속,1,1,0,경상남도 남해군 상주면 상주리 1227 ,1661-9408,유료,급속(200kW동시),없음 
2218,생초시외버스터미널주차장,24시간 이용가능,급속,1,0,0,경상남도 산청군 생초면 어서리 290-2 ,1661-9408,무료,급속(100kW멀티),없음 
2219,석풍휴게소,24시간 이용가능,급속,1,0,0,경상남도 산청군 신안면 산청대로 1169 (산청대로 1169),1661-9408,유료,급속(50kW),없음 
2220,성산스포츠센터,24시간 이용가능,급속,0,0,1,경상남도 창원시 성산구 창이대로 888 ,1661-9408,유료,급속(50kW),없음 
2221,성주동주민센터,24시간 이용가능,급속,1,0,0,"경상남도 창원시 성산구 공단로 735 , 외부화장실 앞(성주동 59)",1661-9408,유료,급속(50kW),없음 
2222,속천 공영주차장,24시간 이용가능,급속,1,0,0,"경상남도 창원시 진해구 제황산동 24-55,  ",1661-9408,유료,급속(50kW),없음 
2223,송림공원주차장,24시간 이용가능,급속,0,1,0,경상남도 하동군 하동읍 광평리 443-17 ,1661-9408,유료,급속(50kW),없음 
2224,수승대,24시간 이용가능,급속,1,0,0,경상남도 거창군 위천면 황산1길 60-6 ,1661-9408,유료,급속(100kW멀티),없음 
2225,수태보건진료소 주차장,24시간 이용가능,급속,1,0,0,경상남도 고성군 하일면 용태리 188-1 ,1661-9408,무료,급속(100kW멀티),없음 
2226,스포츠파크 주차장,24시간 이용가능,급속,1,1,0,경상남도 거창군 거창읍 심소정길39-36 ,1661-9408,유료,급속(200kW동시),없음 
2227,승강기안전기술원,24시간 이용가능,급속,2,0,0,경상남도 거창군 남상면 대산리 1572 ,1661-9408,무료,급속(100kW멀티),없음 
2228,신세계종합정비,24시간 이용가능,급속,1,0,0,경상남도 통영시 광도면 죽림리 292-33 (죽림리 292-33),1661-9408,유료,급속(50kW),없음 
2229,심원정(용추계곡)주차장,24시간 이용가능,급속,0,1,0,경상남도 함양군 안의면 하원리 1201-3 ,1661-9408,유료,급속(100kW멀티),없음 
2230,양산국민체육센터,24시간 이용가능,급속,1,0,0,"경상남도 양산시 물금읍 가촌리 990, 안쪽 주차장 ",1661-9408,유료,급속(50kW),없음 
2231,양산디자인공원,24시간 이용가능,급속,3,0,0,"경상남도 양산시 백호로23, 축구장 옆 ",1661-9408,유료,"급속(50kW), 급속(100kW동시)",없음 
2232,양산시청,24시간 이용가능,급속,3,0,0,"경상남도 양산시 남부동 876-1, 양산문화회관 건너편 주차장 ",1661-9408,유료,"급속(50kW), 급속(100kW동시)",없음 
2233,양산종합운동장,24시간 이용가능,급속,1,0,0,"경상남도 양산시 양산대로 849 , 운동장 앞 도로쪽 주차장(북부동 533)",1661-9408,유료,급속(50kW),없음 
2234,양산휴게소(서울방향),24시간 이용가능,급속,2,0,0,경상남도 양산시 목장길 15-50 ,1661-9408,유료,급속(200kW동시),없음 
2235,얼음골 공영주차장,24시간 이용가능,급속,2,0,0,경상남도 밀양시 산내면 삼양리 190-1번지 ,1661-9408,유료,급속(200kW동시),없음 
2236,연초면사무소,24시간 이용가능,급속,1,0,0,경상남도 거제시 연초면 죽토리 781-1 ,1661-9408,무료,급속(100kW멀티),없음 
2237,영산휴게소(마산방향),24시간 이용가능,급속,2,0,0,경상남도 창녕군 영산면 장척호수길 56-110 (신제리) ,1661-9408,유료,급속(50kW),없음 
2238,와현모래숲해변(해수욕장),24시간 이용가능,급속,1,0,0,경상남도 거제시 일운면 와현리431-2 ,1661-9408,유료,급속(100kW멀티),없음 
2239,웅동2동주민센터,24시간 이용가능,급속,1,0,0,"경상남도 창원시 진해구 용재로 46 , 웅동2동 주민센터 주차장 내(용원동 1218-2)",1661-9408,유료,급속(50kW),없음 
2240,웅동하수처리장,24시간 이용가능,급속,4,0,0,경상남도 창원시 진해구 남문동 1190-1 ,1661-9408,무료,급속(400kW동시),없음 
2241,웅상체육공원,24시간 이용가능,급속,1,0,0,"경상남도 양산시 평산동 283, 축구장 옆 ",1661-9408,유료,급속(50kW),없음 
2242,웅양면사무소,24시간 이용가능,급속,2,0,0,경상남도 거창군 웅양면 노현리 217-1 ,1661-9408,무료,급속(100kW동시),없음 
2243,의령군종합사회복지관,24시간 이용가능,급속,1,0,0,경상남도 의령군 의령읍 의병로8길 44 게이트볼장 옆 주차장(서동리 543),1661-9408,유료,급속(50kW),없음 
2244,의령소방서,24시간 이용가능,급속,2,0,0,경상남도 의령군 의령읍 의령로 108-17 ,1661-9408,유료,급속(200kW동시),없음 
2245,이마트 마산점,10:00~23:00,급속,0,1,0,"경상남도 창원시 마산합포구 서성로 3 , 지상주차장 3층 입구(중앙동3가 4-1)",1661-9408,유료,급속(50kW),없음 
2246,이마트 창원점,10:00~24:00,급속,1,0,0,"경상남도 창원시 성산구 원이대로 608 , 지상주차장 6층 G구역(중앙동 91)",1661-9408,유료,급속(50kW),없음 
2247,이순신순국공원,24시간 이용가능,급속,1,0,0,경상남도 남해군 고현면 차면리  (고현면 차면리),1661-9408,유료,급속(50kW),없음 
2248,임호체육공원,24시간 이용가능,급속,2,0,0,경상남도 김해시 외동 산 28-1 ,1661-9408,무료,급속(100kW동시),없음 
2249,입곡군립공원(입곡지 주차장),24시간 이용가능,급속,1,0,0,경상남도 함안군 산인면 입곡리 1180-1 ,1661-9408,유료,급속(100kW멀티),없음 
2250,자동차부품혁신센터,24시간 이용가능,급속,2,0,0,경상남도 창원시 마산회원구 내서읍 중리 1127-28 ,1661-9408,무료,급속(100kW멀티),없음 
2251,장유휴게소(부산방향),24시간 이용가능,급속,1,1,0,경상남도 김해시 장유로116번길 44-82 (부곡동) ,1661-9408,유료,급속(50kW),없음 
2252,조망공원,24시간 이용가능,급속,1,0,0,경상남도 함양군 함양읍 고운로 161-51 (신관리 820-10),1661-9408,유료,급속(50kW),없음 
2253,조선해양문화관,24시간 이용가능,급속,0,1,0,경상남도 거제시 일운면 지세포해안로 41 ,1661-9408,유료,급속(100kW멀티),없음 
2254,중앙모터스,24시간 이용가능,급속,1,0,0,경상남도 창원시 의창구 소계로 33 ,1661-9408,유료,급속(50kW),없음 
2255,중앙주유소,24시간 이용가능,급속,1,0,0,경상남도 의령군 의령읍 백산로4 ,1661-9408,유료,급속(50kW),없음 
2256,지리산 중산 관광지,24시간 이용가능,급속,0,0,1,경상남도 산청군 시천면 중산리501-4 ,1661-9408,유료,급속(100kW멀티),없음 
2257,지리산국립공원 쌍계사 주차장,24시간 이용가능,급속,2,0,0,경상남도 하동군 화개면 용강리 400-5 ,1661-9408,유료,급속(50kW),없음 
2258,지리산국립공원 중산리주차장,24시간 이용가능,급속,2,0,0,경상남도 산청군 시천면 중산리 619-12 ,1661-9408,유료,급속(50kW),없음 
2259,진교공영주차장,24시간 이용가능,급속,0,0,1,경상남도 하동군 진교면 진교리 426-41 ,1661-9408,유료,급속(50kW),없음 
2260,진동면사무소,24시간 이용가능,급속,1,0,0,경상남도 창원시 마산합포구 진동면 신서촌로 13 진동면사무소(진동리 855-2),1661-9408,유료,급속(50kW),없음 
