,이름,사용가능시간,구분,사용가능,사용중,사용불가,도로명주소,연락처,충전요금,급속충전량,참고사항
1273,금산세계인삼엑스포,24시간 이용가능,급속,2,0,0,충청남도 금산군 금산읍 신대리 355 ,1661-9408,무료,급속(100kW멀티),없음 
1274,금학생태공원주차장,24시간 이용가능,급속,2,0,0,충청남도 공주시 금학동 106 ,1661-9408,유료,급속(200kW동시),없음 
1275,남당항 주차장,24시간 이용가능,급속,2,0,0,충청남도 홍성군 서부면 남당리 859-2 ,1661-9408,유료,급속(200kW동시),없음 
1276,남면사무소,24시간 이용가능,급속,1,0,0,충청남도 태안군 남면 달산리 1179 ,1661-9408,유료,급속(50kW),없음 
1277,내포보부상촌,24시간 이용가능,급속,2,0,0,충청남도 예산군 덕산면 사동리 286 ,1661-9408,무료,급속(200kW동시),없음 
1278,논산공고 앞 공용주차장,24시간 이용가능,급속,1,0,0,충청남도 논산시 취암동 822 ,1661-9408,무료,급속(100kW멀티),없음 
1279,논산시국민체육센터,24시간 이용가능,급속,3,0,0,"충청남도 논산시 논산대로 382, 논산건강관리센터 옆 ",1661-9408,유료,"급속(50kW), 급속(100kW동시)",없음 
1280,논산시청 앞 공영주차장,24시간 이용가능,급속,1,0,0,충청남도 논산시 내동 825  시청앞 새마을금고 맞은편 공영주차장,1661-9408,유료,급속(50kW),주차요금 별도 
1281,당진근로자복지회관,09:00~21:00,급속,1,0,0,"충청남도 당진시 송악읍 부곡공단4길 53-13 , 복지회관 주차장 내(한진리 408-32)",1661-9408,유료,급속(50kW),없음 
1282,당진근로자복지회관,24시간 이용가능,급속,1,0,0,충청남도 당진시 송악읍 부곡공단4길 53-13 ,1661-9408,유료,급속(100kW멀티),없음 
1283,당진문예의전당,24시간 이용가능,급속,2,0,0,충청남도 당진시 무수동2길 25-21 ,1661-9408,유료,급속(100kW멀티),없음 
1284,당진시청,24시간 이용가능,급속,1,0,0,"충청남도 당진시 시청1로 1 , 후문 앞 우측(수청동 1002)",1661-9408,유료,급속(50kW),없음 
1285,당진합덕읍민회관,24시간 이용가능,급속,1,0,0,"충청남도 당진시 합덕읍 중방로 7 , 주차장 내(소소리 63-4)",1661-9408,유료,급속(50kW),없음 
1286,대산지방해양수산청,24시간 이용가능,급속,2,0,0,충청남도 서산시 잠홍동 344 ,1661-9408,무료,급속(200kW동시),없음 
1287,대천해수욕장 제1주차장,24시간 이용가능,급속,2,1,0,충청남도 보령시 신흑동 1437-3 ,1661-9408,유료,"급속(50kW), 급속(100kW동시)",없음 
1288,대천휴게소(목포방향),24시간 이용가능,급속,1,0,0,충청남도 보령시 주교면 서해안고속도로 199 (주교리) ,1661-9408,유료,급속(50kW),없음 
1289,대천휴게소(목포방향),24시간 이용가능,급속,1,0,0,충청남도 보령시 주교면 서해안고속도로 199 ,1661-9408,유료,급속(100kW멀티),없음 
1290,대천휴게소(시흥방향),24시간 이용가능,급속,1,0,0,충청남도 보령시 주교면 서해안고속도로 200 (주교리) ,1661-9408,유료,급속(50kW),없음 
1291,대천휴게소(시흥방향),24시간 이용가능,급속,0,0,1,충청남도 보령시 주교면 서해안고속도로 200 ,1661-9408,유료,급속(100kW멀티),없음 
1292,덕산면 종합복지센터,24시간 이용가능,급속,1,0,0,충청남도 예산군 덕산면 신평리 362-8 ,1661-9408,유료,급속(100kW멀티),없음 
1293,도고면사무소,24시간 이용가능,급속,2,0,0,충청남도 아산시 도고면 신언리 64-3 ,1661-9408,무료,급속(200kW동시),없음 
1294,도솔공원,24시간 이용가능,급속,1,1,0,충청남도 천안시 동남구 신부동 132-8 ,1661-9408,무료,급속(100kW동시),없음 
1295,독립기념관,24시간 이용가능,급속,2,1,1,충청남도 천안시 동남구 목천읍 남화리 230-1  ,1661-9408,유료,급속(400kW동시),없음 
1296,동부여석성휴게소,24시간 이용가능,급속,0,1,0,충청남도 부여군 석성면 대백제로 3050 ,1661-9408,유료,급속(50kW),없음 
1297,두마면사무소,24시간 이용가능,급속,1,0,0,충청남도 계룡시 두마면 팥거리2길 14 ,1661-9408,유료,급속(100kW멀티),없음 
1298,둔포면사무소,24시간 이용가능,급속,1,0,0,충청남도 아산시 둔포면 둔포리 461-11 (둔포리 461-11),1661-9408,유료,급속(50kW),없음 
1299,롯데리조트부여,24시간 이용가능,급속,2,0,0,"충청남도 부여군 규암면 백제문로 400, 지하1층, J ",1661-9408,유료,급속(200kW동시),없음 
1300,롯데마트 당진점,10:00~23:00,급속,1,0,0,"충청남도 당진시 정안로 20 , 지상주차장 1층 매장입구 우측(원당동 824 , 지상주차장 1층 매장입구 우측)",1661-9408,유료,급속(50kW),없음 
1301,롯데마트 당진점,24시간 이용가능,급속,1,0,0,충청남도 당진시 정안로 20 ,1661-9408,유료,급속(100kW멀티),없음 
