"sid","name","u_time","agency","do","city","gu","c_add","phone","fee","etc","create_date"
"ME178010","입장휴게소(서울방향)","24시간 이용가능","환경부(한국자동차환경협회)","충청남도","천안시","서북구","충청남도 천안시 서북구 입장면 연곡길 407 ","1661-9408","유료","없음 ","Wed Sep 23 14:00:54 2020"
"ME178011","천안휴게소(서울방향)","24시간 이용가능","환경부(한국자동차환경협회)","충청남도","천안시","동남구","충청남도 천안시 동남구 쉼1길 42 (삼룡동)173-1 ","1661-9408","유료","없음 ","Wed Sep 23 14:00:54 2020"
"ME178012","금강휴게소(부산방향)","24시간 이용가능","환경부(한국자동차환경협회)","충청북도","옥천군","옥천군","충청북도 옥천군 동이면 금강로 596 (조령리) ","1661-9408","유료","없음 ","Wed Sep 23 14:00:54 2020"
"ME178013","통도사휴게소(부산방향)","24시간 이용가능","환경부(한국자동차환경협회)","경상남도","양산시","하북면","경상남도 양산시 하북면 경부고속도로 31-1 (순지리) ","1661-9408","유료","없음 ","Wed Sep 23 14:00:54 2020"
"ME178014","옥산휴게소(부산방향)","24시간 이용가능","환경부(한국자동차환경협회)","충청북도","청주시","흥덕구","충청북도 청주시 흥덕구 옥산면 경부고속도로 309 (오산리) ","1661-9408","유료","없음 ","Wed Sep 23 14:00:54 2020"
"ME178015","옥천휴게소(서울방향)","24시간 이용가능","환경부(한국자동차환경협회)","충청북도","옥천군","옥천군","충청북도 옥천군 옥천읍 옥천동이로 242-34 ","1661-9408","유료","없음 ","Wed Sep 23 14:00:54 2020"
"ME178016","옥천만남의광장휴게소","24시간 이용가능","환경부(한국자동차환경협회)","충청북도","옥천군","옥천군","충청북도 옥천군 옥천읍 중앙로 135 (삼양리) ","1661-9408","유료","없음 ","Wed Sep 23 14:00:54 2020"
"ME178017","음성휴게소(통영방향)","24시간 이용가능","환경부(한국자동차환경협회)","충청북도","음성군","음성군","충청북도 음성군 삼성면 용성리 산 44 ","1661-9408","유료","없음 ","Wed Sep 23 14:00:54 2020"
"ME178018","죽암휴게소(부산방향)","24시간 이용가능","환경부(한국자동차환경협회)","충청북도","청주시","서원구","충청북도 청주시 서원구 현도면 경부고속도로 289 ","1661-9408","유료","없음 ","Wed Sep 23 14:00:54 2020"
"ME178019","죽암휴게소(서울방향)","24시간 이용가능","환경부(한국자동차환경협회)","충청북도","청주시","서원구","충청북도 청주시 서원구 현도면 경부고속도로 290 ","1661-9408","유료","없음 ","Wed Sep 23 14:00:54 2020"
"ME178020","청주휴게소(서울방향)","24시간 이용가능","환경부(한국자동차환경협회)","충청북도","청주시","흥덕구","충청북도 청주시 흥덕구 옥산면 경부고속도로 318 (장남리) ","1661-9408","유료","없음 ","Wed Sep 23 14:00:54 2020"
"ME178021","황간휴게소(부산방향)","24시간 이용가능","환경부(한국자동차환경협회)","충청북도","영동군","영동군","충청북도 영동군 황간면 회포길 102 (회포리) ","1661-9408","유료","없음 ","Wed Sep 23 14:00:54 2020"
"ME178022","황간휴게소(서울방향)","24시간 이용가능","환경부(한국자동차환경협회)","충청북도","영동군","영동군","충청북도 영동군 황간면 회포1길 65 (회포리) ","1661-9408","유료","없음 ","Wed Sep 23 14:00:54 2020"
"ME178023","함평천지휴게소(목포방향)","24시간 이용가능","환경부(한국자동차환경협회)","전라남도","함평군","함평군","전라남도 함평군 함평읍 서해안고속도로 31 (장교리) ","1661-9408","유료","없음 ","Wed Sep 23 14:00:54 2020"
"ME178024","함평천지휴게소(시흥방향)","24시간 이용가능","환경부(한국자동차환경협회)","전라남도","함평군","함평군","전라남도 함평군 함평읍 서해안고속도로 38 (죽암리) ","1661-9408","유료","없음 ","Wed Sep 23 14:00:54 2020"
"ME178025","고창고인돌휴게소(목포방향)","24시간 이용가능","환경부(한국자동차환경협회)","전라북도","고창군","고창군","전라북도 고창군 고창읍 서해안고속도로 81 (벽송리) ","1661-9408","유료","없음 ","Wed Sep 23 14:00:54 2020"
"ME178026","고창고인돌휴게소(시흥방향)","24시간 이용가능","환경부(한국자동차환경협회)","전라북도","고창군","고창군","전라북도 고창군 고창읍 서해안고속도로 80 (신월리) ","1661-9408","유료","없음 ","Wed Sep 23 14:00:54 2020"
"ME178027","대천휴게소(목포방향)","24시간 이용가능","환경부(한국자동차환경협회)","충청남도","보령시","주교면","충청남도 보령시 주교면 서해안고속도로 199 (주교리) ","1661-9408","유료","없음 ","Wed Sep 23 14:00:54 2020"
"ME178028","대천휴게소(시흥방향)","24시간 이용가능","환경부(한국자동차환경협회)","충청남도","보령시","주교면","충청남도 보령시 주교면 서해안고속도로 200 (주교리) ","1661-9408","유료","없음 ","Wed Sep 23 14:00:54 2020"
"ME178029","서산휴게소(시흥방향)","24시간 이용가능","환경부(한국자동차환경협회)","충청남도","서산시","해미면","충청남도 서산시 해미면 서해안고속도로 242 (삼송리) ","1661-9408","유료","없음 ","Wed Sep 23 14:00:54 2020"
"ME178030","서천휴게소(목포방향)","24시간 이용가능","환경부(한국자동차환경협회)","충청남도","서천군","서천군","충청남도 서천군 비인면 서해안고속도로 169 (성산리) ","1661-9408","유료","없음 ","Wed Sep 23 14:00:54 2020"
"ME178031","서천휴게소(시흥방향)","24시간 이용가능","환경부(한국자동차환경협회)","충청남도","서천군","서천군","충청남도 서천군 비인면 서해안고속도로 168 (성산리) ","1661-9408","유료","없음 ","Wed Sep 23 14:00:54 2020"
"ME178032","홍성휴게소(목포방향)","24시간 이용가능","환경부(한국자동차환경협회)","충청남도","홍성군","홍성군","충청남도 홍성군 은하면 서해안고속도로 221 (금국리) ","1661-9408","유료","없음 ","Wed Sep 23 14:00:54 2020"
"ME178033","홍성휴게소(시흥방향)","24시간 이용가능","환경부(한국자동차환경협회)","충청남도","홍성군","홍성군","충청남도 홍성군 은하면 서해안고속도로 220 (금국리) ","1661-9408","유료","없음 ","Wed Sep 23 14:00:54 2020"
"ME178034","곡성휴게소(논산방향)","24시간 이용가능","환경부(한국자동차환경협회)","전라남도","곡성군","곡성군","전라남도 곡성군 겸면 호남고속도로 50 (가정리) ","1661-9408","유료","없음 ","Wed Sep 23 14:00:54 2020"
"ME178035","곡성휴게소(순천방향)","24시간 이용가능","환경부(한국자동차환경협회)","전라남도","곡성군","곡성군","전라남도 곡성군 겸면 호남고속도로 49 (가정리) ","1661-9408","유료","없음 ","Wed Sep 23 14:00:54 2020"
"ME178036","백양사휴게소(논산방향)","24시간 이용가능","환경부(한국자동차환경협회)","전라남도","장성군","장성군","전라남도 장성군 북이면 호남고속도로 108 (박산리) ","1661-9408","유료","없음 ","Wed Sep 23 14:00:54 2020"
"ME178037","순천휴게소(순천방향)","24시간 이용가능","환경부(한국자동차환경협회)","전라남도","순천시","서면","전라남도 순천시 서면 호남고속도로 3 (비월리) ","1661-9408","유료","없음 ","Wed Sep 23 14:00:54 2020"
"ME178038","이서휴게소(순천방향)","24시간 이용가능","환경부(한국자동차환경협회)","전라북도","완주군","완주군","전라북도 완주군 이서면 호남고속도로 161 (은교리) ","1661-9408","유료","없음 ","Wed Sep 23 14:00:54 2020"
"ME178039","이서휴게소(천안방향)","24시간 이용가능","환경부(한국자동차환경협회)","전라북도","완주군","완주군","전라북도 완주군 이서면 호남고속도로 162 (은교리) ","1661-9408","유료","없음 ","Wed Sep 23 14:00:54 2020"
"ME178040","정읍휴게소(논산방향)","24시간 이용가능","환경부(한국자동차환경협회)","전라북도","정읍시","북면","전라북도 정읍시 북면 하북1길 227-17 (남산리) ","1661-9408","유료","없음 ","Wed Sep 23 14:00:54 2020"
"ME178041","정읍휴게소(순천방향)","24시간 이용가능","환경부(한국자동차환경협회)","전라북도","정읍시","북면","전라북도 정읍시 북면 정신로 135-61 (남산리) ","1661-9408","유료","없음 ","Wed Sep 23 14:00:54 2020"
"ME178042","벌곡휴게소(논산방향)","24시간 이용가능","환경부(한국자동차환경협회)","충청남도","논산시","벌곡면","충청남도 논산시 벌곡면 호남고속도로 2465-10 (신양리) ","1661-9408","유료","없음 ","Wed Sep 23 14:00:54 2020"
"ME178043","이천휴게소(통영방향)","24시간 이용가능","환경부(한국자동차환경협회)","경기도","이천시","마장면","경기도 이천시 마장면 중부대로609번길 244-35 (목리) ","1661-9408","유료","없음 ","Wed Sep 23 14:00:54 2020"
